id,parent_id,label,acronym
pt,,Rechtssubjekt,
pt.1,pt,natürliche Person,
pt.2,pt,juristische Person,
pt.21,pt.2,juristische Person des Privatrechts,
pt.211,pt.21,Körperschaften des Privatrechts,
pt.2111,pt.211,Verein,
pt.2112,pt.211,Aktiengesellschaft,AG
pt.2113,pt.211,Kommanditgesellschaft auf Aktien,
pt.2114,pt.211,Gesellschaft mit beschränkter Haftung,GmbH
pt.2115,pt.211,eingetragene Genossenschaft,eG
pt.2116,pt.211,Europäische Gesellschaft,
pt.212,pt.21,Stiftung bürgerlichen Rechts,
pt.22,pt.2,juristische Person des öffentlichen Rechts,
pt.221,pt.22,Anstalt des öffentlichen Rechts,
pt.222,pt.22,Körperschaft des öffentlichen Rechts,
pt.2221,pt.222,Gebietskörperschaft,
pt.22211,pt.2221,Bund,
pt.22212,pt.2221,Land,
pt.22213,pt.2221,Regierungsbezirk,
pt.22214,pt.2221,Städteregion,
pt.22215,pt.2221,Kreis,
pt.22216,pt.2221,Kreisverwaltung,
pt.22217,pt.2221,kreisfreie Stadt,
pt.22218,pt.2221,Stadt,
pt.22219,pt.2221,Gemeinde,
pt.2222,pt.222,Kollegialkörperschaft,
pt.2223,pt.222,Personalkörperschaft,
pt.2224,pt.222,Realkörperschaft,
pt.2225,pt.222,Verbandskörperschaft,
pt.22251,pt.2225,Landschaftsverband,
pt.22252,pt.2225,Regionalverband,
pt.223,pt.22,Stiftung des öffentlichen Rechts,